time	V(vpwrout)	I(Pwrout)
Step Information: Freq=500K  (Run: 1/7)
3.885094038570930e-007	1.273607e+000	1.273827e-005
3.885134003453853e-007	1.273607e+000	1.273312e-005
3.885177520278730e-007	1.273607e+000	1.273296e-005
3.885225214127779e-007	1.273607e+000	1.273619e-005
3.885315455444160e-007	1.273607e+000	1.273831e-005
3.885489854888580e-007	1.273607e+000	1.273700e-005
3.885838653777419e-007	1.273607e+000	1.273580e-005
3.886536251555096e-007	1.273607e+000	1.273610e-005
3.887642912623403e-007	1.273606e+000	1.273593e-005
3.913464923526534e-007	1.273598e+000	1.273597e-005
3.941008401823208e-007	1.273589e+000	1.273589e-005
3.996095358416555e-007	1.273570e+000	1.273570e-005
4.093751608416555e-007	1.273535e+000	1.273535e-005
4.191407858416555e-007	1.273499e+000	1.273499e-005
4.289064108416556e-007	1.273462e+000	1.273462e-005
4.386720358416556e-007	1.273426e+000	1.273426e-005
4.484376608416556e-007	1.273389e+000	1.273389e-005
4.582032858416556e-007	1.273352e+000	1.273352e-005
4.679689108416557e-007	1.273314e+000	1.273314e-005
4.777345358416557e-007	1.273277e+000	1.273277e-005
4.818308973336969e-007	1.273261e+000	1.273261e-005
4.840366878918286e-007	1.273252e+000	1.273252e-005
4.854096395568765e-007	1.273247e+000	1.273247e-005
4.865892072144675e-007	1.273242e+000	1.273242e-005
4.878843819951254e-007	1.273237e+000	1.273237e-005
4.904747315564413e-007	1.273227e+000	1.273227e-005
4.944410225723353e-007	1.273212e+000	1.273211e-005
4.978648570459480e-007	1.273198e+000	1.273198e-005
5.005744999269695e-007	1.273188e+000	1.273188e-005
5.032936004067610e-007	1.273177e+000	1.273178e-005
5.060185251125762e-007	1.273166e+000	1.273167e-005
5.091530575675159e-007	1.273154e+000	1.273154e-005
5.133586570288328e-007	1.273137e+000	1.273137e-005
5.182845938056810e-007	1.273118e+000	1.273117e-005
5.243305665014287e-007	1.273094e+000	1.273094e-005
5.312878508158851e-007	1.273066e+000	1.273066e-005
5.399020348460574e-007	1.273032e+000	1.273031e-005
5.496676598460574e-007	1.272992e+000	1.272991e-005
5.594332848460574e-007	1.272952e+000	1.272952e-005
5.691989098460574e-007	1.272914e+000	1.272914e-005
5.789645348460575e-007	1.272876e+000	1.272876e-005
5.887301598460575e-007	1.272840e+000	1.272840e-005
5.984957848460575e-007	1.272805e+000	1.272805e-005
6.082614098460575e-007	1.272772e+000	1.272772e-005
6.180270348460576e-007	1.272741e+000	1.272741e-005
6.277926598460576e-007	1.272712e+000	1.272712e-005
6.375582848460576e-007	1.272685e+000	1.272685e-005
6.473239098460576e-007	1.272661e+000	1.272661e-005
6.570895348460577e-007	1.272639e+000	1.272639e-005
6.668551598460577e-007	1.272620e+000	1.272620e-005
6.766207848460577e-007	1.272602e+000	1.272602e-005
6.863864098460577e-007	1.272585e+000	1.272585e-005
7.254489098460578e-007	1.272520e+000	1.272520e-005
7.352145348460579e-007	1.272504e+000	1.272504e-005
7.449801598460579e-007	1.272489e+000	1.272489e-005
7.742770348460580e-007	1.272444e+000	1.272444e-005
7.840426598460580e-007	1.272429e+000	1.272429e-005
7.938082848460580e-007	1.272414e+000	1.272414e-005
8.035739098460581e-007	1.272399e+000	1.272399e-005
8.133395348460581e-007	1.272382e+000	1.272382e-005
8.231051598460581e-007	1.272362e+000	1.272362e-005
8.328707848460581e-007	1.272339e+000	1.272339e-005
8.426364098460582e-007	1.272312e+000	1.272313e-005
8.524020348460582e-007	1.272282e+000	1.272282e-005
8.621676598460582e-007	1.272248e+000	1.272248e-005
8.719332848460582e-007	1.272209e+000	1.272209e-005
8.816989098460583e-007	1.272165e+000	1.272166e-005
8.914645348460583e-007	1.272116e+000	1.272116e-005
8.981989511353820e-007	1.272076e+000	1.272076e-005
9.005842248636283e-007	1.272057e+000	1.272064e-005
9.006881644285381e-007	1.272056e+000	1.272064e-005
9.008267505150844e-007	1.272054e+000	1.272048e-005
9.010102583928298e-007	1.272052e+000	1.272044e-005
9.013497212152135e-007	1.272048e+000	1.272048e-005
9.184052967877614e-007	1.271814e+000	1.271814e-005
9.281709217877614e-007	1.271670e+000	1.271670e-005
9.379365467877615e-007	1.271519e+000	1.271519e-005
9.574677967877614e-007	1.271202e+000	1.271202e-005
9.769990467877615e-007	1.270868e+000	1.270868e-005
9.965302967877615e-007	1.270518e+000	1.270517e-005
1.016061546787762e-006	1.270152e+000	1.270151e-005
1.045358421787762e-006	1.269574e+000	1.269574e-005
1.055124046787762e-006	1.269374e+000	1.269374e-005
1.064889671787762e-006	1.269173e+000	1.269173e-005
1.074655296787762e-006	1.268972e+000	1.268972e-005
1.084420921787762e-006	1.268777e+000	1.268777e-005
1.103952171787762e-006	1.268409e+000	1.268408e-005
1.123483421787762e-006	1.268073e+000	1.268073e-005
1.133249046787762e-006	1.267918e+000	1.267919e-005
1.143014671787762e-006	1.267773e+000	1.267773e-005
1.162545921787762e-006	1.267509e+000	1.267509e-005
1.182077171787762e-006	1.267285e+000	1.267285e-005
1.211374046787762e-006	1.267027e+000	1.267027e-005
1.221139671787762e-006	1.266962e+000	1.266962e-005
1.230905296787762e-006	1.266907e+000	1.266907e-005
1.240670921787762e-006	1.266863e+000	1.266863e-005
1.250436546787762e-006	1.266831e+000	1.266831e-005
1.260202171787762e-006	1.266810e+000	1.266810e-005
1.269967796787762e-006	1.266799e+000	1.266799e-005
1.272705458702538e-006	1.266798e+000	1.266798e-005
1.274009170902550e-006	1.266798e+000	1.266799e-005
1.275302862709983e-006	1.266798e+000	1.266801e-005
1.277192909158553e-006	1.266799e+000	1.266801e-005
1.279145015087996e-006	1.266800e+000	1.266801e-005
1.282450804102629e-006	1.266802e+000	1.266802e-005
1.289062382131893e-006	1.266809e+000	1.266809e-005
1.298403696121164e-006	1.266823e+000	1.266823e-005
1.308169321121164e-006	1.266843e+000	1.266843e-005
1.317934946121164e-006	1.266870e+000	1.266870e-005
1.327700571121164e-006	1.266903e+000	1.266903e-005
1.337466196121164e-006	1.266941e+000	1.266941e-005
1.347231821121164e-006	1.266983e+000	1.266983e-005
1.356997446121164e-006	1.267027e+000	1.267027e-005
1.366763071121164e-006	1.267073e+000	1.267073e-005
1.376528696121164e-006	1.267120e+000	1.267120e-005
1.396059946121164e-006	1.267219e+000	1.267219e-005
1.415591196121164e-006	1.267321e+000	1.267321e-005
1.435122446121164e-006	1.267426e+000	1.267426e-005
1.464419321121164e-006	1.267584e+000	1.267584e-005
1.493716196121164e-006	1.267743e+000	1.267743e-005
1.503481821121164e-006	1.267797e+000	1.267797e-005
1.513247446121164e-006	1.267850e+000	1.267850e-005
1.523013071121164e-006	1.267904e+000	1.267904e-005
1.532778696121164e-006	1.267958e+000	1.267957e-005
1.542544321121164e-006	1.268012e+000	1.268011e-005
1.552309946121164e-006	1.268065e+000	1.268065e-005
1.562075571121164e-006	1.268116e+000	1.268116e-005
1.581606821121164e-006	1.268214e+000	1.268215e-005
1.591372446121164e-006	1.268260e+000	1.268260e-005
1.601138071121164e-006	1.268304e+000	1.268304e-005
1.610903696121164e-006	1.268348e+000	1.268348e-005
1.620669321121165e-006	1.268391e+000	1.268391e-005
1.640200571121165e-006	1.268478e+000	1.268478e-005
1.659731821121165e-006	1.268567e+000	1.268567e-005
1.679263071121165e-006	1.268660e+000	1.268660e-005
1.698794321121165e-006	1.268756e+000	1.268756e-005
1.708559946121165e-006	1.268806e+000	1.268806e-005
1.718325571121165e-006	1.268858e+000	1.268858e-005
1.728091196121165e-006	1.268910e+000	1.268910e-005
1.737856821121165e-006	1.268964e+000	1.268964e-005
1.747622446121165e-006	1.269019e+000	1.269019e-005
1.757388071121165e-006	1.269073e+000	1.269073e-005
1.767153696121165e-006	1.269129e+000	1.269128e-005
1.786684946121165e-006	1.269241e+000	1.269241e-005
1.806216196121165e-006	1.269357e+000	1.269356e-005
1.825747446121165e-006	1.269478e+000	1.269478e-005
1.845278696121165e-006	1.269607e+000	1.269607e-005
1.864809946121165e-006	1.269745e+000	1.269744e-005
1.874575571121165e-006	1.269816e+000	1.269816e-005
1.884341196121165e-006	1.269889e+000	1.269889e-005
1.903872446121165e-006	1.270037e+000	1.270037e-005
1.933169321121165e-006	1.270260e+000	1.270261e-005
1.962466196121165e-006	1.270484e+000	1.270485e-005
1.991763071121165e-006	1.270706e+000	1.270706e-005
2.011294321121165e-006	1.270852e+000	1.270851e-005
2.030825571121165e-006	1.270994e+000	1.270995e-005
2.040591196121165e-006	1.271065e+000	1.271065e-005
2.050356821121165e-006	1.271135e+000	1.271135e-005
2.054014425454980e-006	1.271201e+000	1.271202e-005
2.055501399917186e-006	1.271285e+000	1.271293e-005
2.055526912812434e-006	1.271288e+000	1.271304e-005
2.055577938602929e-006	1.271297e+000	1.271325e-005
2.055679990183919e-006	1.271318e+000	1.271321e-005
2.055841569238046e-006	1.271356e+000	1.271339e-005
2.056110693765419e-006	1.271437e+000	1.271431e-005
2.056648942820164e-006	1.271665e+000	1.271664e-005
2.057725440929655e-006	1.272371e+000	1.272364e-005
2.059809749883855e-006	1.274445e+000	1.274440e-005
2.062016814744533e-006	1.277816e+000	1.277814e-005
2.066430944465890e-006	1.287903e+000	1.287904e-005
2.072695420225709e-006	1.308525e+000	1.308525e-005
2.082461045225709e-006	1.351939e+000	1.351938e-005
2.092226670225709e-006	1.406009e+000	1.406008e-005
2.101992295225709e-006	1.468898e+000	1.468898e-005
2.111757920225709e-006	1.537586e+000	1.537586e-005
2.121523545225709e-006	1.609378e+000	1.609379e-005
2.131289170225709e-006	1.681891e+000	1.681891e-005
2.141054795225709e-006	1.753041e+000	1.753041e-005
2.150820420225709e-006	1.821033e+000	1.821034e-005
2.160586045225709e-006	1.884343e+000	1.884344e-005
2.170351670225709e-006	1.941685e+000	1.941684e-005
2.180117295225709e-006	1.991954e+000	1.991952e-005
2.189882920225709e-006	2.034184e+000	2.034181e-005
2.199648545225709e-006	2.067510e+000	2.067507e-005
2.209414170225709e-006	2.091151e+000	2.091149e-005
2.219179795225709e-006	2.106159e+000	2.106159e-005
