% Model,pzt_power_harvester.mph
% Version,COMSOL 4.3.1.115
% Date,"Apr 26 2017, 14:58"
% Table,Probe Table 2 - 
% freq,"Velocity, Z component (m/s), Boundary Probe 3","Electric potential (V*m), Boundary Probe 1","Current density norm (A/m), Boundary Probe 2","Electric potential (V), Boundary Probe 4"
10000.0,9.944444444444444E-7,3.817987716914432E-6,2.551450699943327E-5,0.02356488775979402
11220.18454301963,9.944444444444444E-7,3.402355714094407E-6,2.5514867984896265E-5,0.021002130972097344
12589.254117941662,9.944444444444448E-7,3.031870893037293E-6,2.551532245482869E-5,0.018718059701417673
14125.375446227554,9.944444444444448E-7,2.7016171405520465E-6,2.5515894624189005E-5,0.016682365709367878
15848.93192461114,9.944444444444444E-7,2.407212183341053E-6,2.5516614983334715E-5,0.014868036573000403
17782.794100389227,9.944444444444446E-7,2.1447494370939182E-6,2.551752192611737E-5,0.01325099724630757
19952.62314968879,9.944444444444448E-7,1.9107461673545786E-6,2.5518663801432612E-5,0.011809790598906057
22387.21138568338,9.944444444444448E-7,1.702097274148572E-6,2.5520101498967955E-5,0.010525292692835581
25118.864315095823,9.944444444444448E-7,1.5160340869294496E-6,2.5521911709231963E-5,0.00938045901935571
28183.82931264455,9.944444444444446E-7,1.3500876228038952E-6,2.5524191035247444E-5,0.008360098328437314
31622.776601683792,9.944444444444446E-7,1.2020558201062367E-6,2.5527061180860116E-5,0.0074506710497747935
35481.33892335753,9.944444444444446E-7,1.0699743119831476E-6,2.5530675501453033E-5,0.006640109630449022
39810.71705534969,9.944444444444444E-7,9.520903513946207E-7,2.5535227281031647E-5,0.0059176584051761245
44668.35921509635,9.944444444444444E-7,8.46839540430994E-7,2.5540960200431206E-5,0.005273730874238993
50118.72336272725,9.944444444444448E-7,7.528250535926357E-7,2.554818159226208E-5,0.004699782495156278
56234.13251903491,9.944444444444444E-7,6.687990771198346E-7,2.5557279249145457E-5,0.004188197299957693
63095.7344480193,9.944444444444446E-7,5.936462149243125E-7,2.556874277701577E-5,0.003732186833330754
70794.57843841374,9.944444444444444E-7,5.263686364280493E-7,2.5583190784798698E-5,0.003325700070305073
79432.82347242822,9.944444444444446E-7,4.660727628020659E-7,2.5601405604761218E-5,0.002963343117717647
89125.0938133746,9.944444444444448E-7,4.119573057346795E-7,2.5624377786833877E-5,0.0026403076333595113
100000.0,9.944444444444444E-7,3.633024867772374E-7,2.5653363369365684E-5,0.0023523070121625506
112201.84543019629,9.944444444444446E-7,3.1946027511734855E-7,2.568995799533974E-5,0.0020955194915460063
125892.54117941661,9.944444444444444E-7,2.798454865227065E-7,2.5736193468797188E-5,0.001866537419462611
141253.75446227554,9.944444444444444E-7,2.439275848488187E-7,2.579466457101441E-5,0.0016623220099507578
158489.3192461114,9.944444444444444E-7,2.112230176707435E-7,2.5868697268394905E-5,0.0014801629832033438
177827.94100389228,9.944444444444446E-7,1.8128789557319155E-7,2.5962574486417987E-5,0.0013176425513047186
199526.23149688786,9.944444444444446E-7,1.537107842293119E-7,2.6081843484507256E-5,0.0011726032678858493
223872.11385683378,9.944444444444444E-7,1.2810530909717324E-7,2.623374143758771E-5,0.0010431193111876097
251188.6431509582,9.944444444444446E-7,1.0410215604319677E-7,2.6427796500365466E-5,9.274708171158031E-4
281838.2931264455,9.944444444444444E-7,8.133985455158676E-8,2.6676696673966255E-5,8.24120924842663E-4
316227.7660168379,9.944444444444444E-7,5.945339210904373E-8,2.6997580272518833E-5,7.316952485317998E-4
354813.3892335753,9.944444444444444E-7,3.805910981402433E-8,2.7414013908610665E-5,6.489635585747442E-4
