time	V(vpwrout)	I(Pwrout)
Step Information: Lmatch=1n  (Run: 1/25)
3.195570590874381e-07	1.847102e+00	1.847100e-05
3.219984653374381e-07	1.847066e+00	1.847065e-05
3.268010943703183e-07	1.846992e+00	1.846991e-05
3.320683245739289e-07	1.846907e+00	1.846907e-05
3.368860116814178e-07	1.846826e+00	1.846826e-05
3.421490671619169e-07	1.846734e+00	1.846734e-05
3.469021872358435e-07	1.846647e+00	1.846648e-05
3.510869714988042e-07	1.846568e+00	1.846568e-05
3.547276089590545e-07	1.846496e+00	1.846496e-05
3.587602908454973e-07	1.846415e+00	1.846415e-05
3.624745175817183e-07	1.846338e+00	1.846338e-05
3.671253319736518e-07	1.846239e+00	1.846239e-05
3.730259838795687e-07	1.846107e+00	1.846107e-05
3.805159271243416e-07	1.845929e+00	1.845929e-05
3.895735038886913e-07	1.845684e+00	1.845685e-05
3.936102045031989e-07	1.845549e+00	1.845156e-05
3.936114319159043e-07	1.845548e+00	1.845274e-05
3.936138867413153e-07	1.845548e+00	1.845633e-05
3.936187963921372e-07	1.845548e+00	1.845695e-05
3.936286156937810e-07	1.845547e+00	1.845323e-05
3.938268961050199e-07	1.845536e+00	1.845499e-05
3.940374108458416e-07	1.845524e+00	1.845505e-05
3.943549515068952e-07	1.845505e+00	1.845499e-05
3.979795364969888e-07	1.845288e+00	1.845287e-05
4.015608344737560e-07	1.845079e+00	1.845079e-05
4.087234304272904e-07	1.844677e+00	1.844677e-05
4.184890554272904e-07	1.844156e+00	1.844156e-05
4.282546804272905e-07	1.843670e+00	1.843669e-05
4.380203054272905e-07	1.843218e+00	1.843217e-05
4.477859304272905e-07	1.842800e+00	1.842799e-05
4.575515554272905e-07	1.842414e+00	1.842414e-05
4.673171804272906e-07	1.842060e+00	1.842060e-05
4.770828054272906e-07	1.841739e+00	1.841739e-05
4.868484304272906e-07	1.841450e+00	1.841450e-05
4.966140554272906e-07	1.841194e+00	1.841194e-05
5.063796804272907e-07	1.840971e+00	1.840971e-05
5.161453054272907e-07	1.840781e+00	1.840781e-05
5.259109304272907e-07	1.840625e+00	1.840625e-05
5.356765554272907e-07	1.840504e+00	1.840504e-05
5.454421804272908e-07	1.840417e+00	1.840417e-05
5.552078054272908e-07	1.840361e+00	1.840361e-05
5.605803239176539e-07	1.840344e+00	1.840345e-05
5.634887548423054e-07	1.840341e+00	1.840341e-05
5.650047862750621e-07	1.840340e+00	1.840341e-05
5.661097144463775e-07	1.840340e+00	1.840341e-05
5.671228017936733e-07	1.840341e+00	1.840340e-05
5.688189416672153e-07	1.840342e+00	1.840342e-05
5.712027527248433e-07	1.840344e+00	1.840345e-05
5.734614989018836e-07	1.840348e+00	1.840348e-05
5.774437973355991e-07	1.840357e+00	1.840357e-05
5.832585260438416e-07	1.840375e+00	1.840375e-05
5.930241510438416e-07	1.840418e+00	1.840418e-05
6.027897760438416e-07	1.840476e+00	1.840476e-05
6.125554010438417e-07	1.840549e+00	1.840549e-05
6.223210260438417e-07	1.840636e+00	1.840636e-05
6.320866510438417e-07	1.840738e+00	1.840738e-05
6.418522760438417e-07	1.840853e+00	1.840853e-05
6.516179010438418e-07	1.840981e+00	1.840980e-05
6.613835260438418e-07	1.841120e+00	1.841119e-05
6.711491510438418e-07	1.841269e+00	1.841268e-05
6.809147760438418e-07	1.841425e+00	1.841425e-05
6.906804010438419e-07	1.841588e+00	1.841588e-05
7.004460260438419e-07	1.841755e+00	1.841755e-05
7.102116510438419e-07	1.841925e+00	1.841925e-05
7.199772760438419e-07	1.842099e+00	1.842099e-05
7.297429010438420e-07	1.842276e+00	1.842276e-05
7.395085260438420e-07	1.842453e+00	1.842453e-05
7.492741510438420e-07	1.842631e+00	1.842631e-05
7.590397760438420e-07	1.842808e+00	1.842808e-05
7.688054010438421e-07	1.842982e+00	1.842982e-05
7.785710260438421e-07	1.843154e+00	1.843154e-05
7.883366510438421e-07	1.843323e+00	1.843323e-05
7.981022760438421e-07	1.843486e+00	1.843486e-05
8.078679010438422e-07	1.843641e+00	1.843641e-05
8.176335260438422e-07	1.843787e+00	1.843787e-05
8.273991510438422e-07	1.843921e+00	1.843920e-05
8.371647760438422e-07	1.844041e+00	1.844041e-05
8.469304010438423e-07	1.844148e+00	1.844148e-05
8.566960260438423e-07	1.844238e+00	1.844238e-05
8.664616510438423e-07	1.844312e+00	1.844312e-05
8.762272760438423e-07	1.844369e+00	1.844368e-05
8.859929010438424e-07	1.844406e+00	1.844406e-05
8.957585260438424e-07	1.844424e+00	1.844425e-05
9.055241510438424e-07	1.844423e+00	1.844423e-05
9.152897760438424e-07	1.844401e+00	1.844401e-05
9.250554010438425e-07	1.844358e+00	1.844358e-05
9.348210260438425e-07	1.844301e+00	1.844160e-05
9.348234102296335e-07	1.844301e+00	1.844237e-05
9.348281786012156e-07	1.844301e+00	1.844578e-05
9.348329149271250e-07	1.844301e+00	1.844764e-05
9.348388616351761e-07	1.844301e+00	1.844696e-05
9.348491709292965e-07	1.844301e+00	1.844494e-05
9.348617811400508e-07	1.844301e+00	1.844408e-05
9.348833583097431e-07	1.844300e+00	1.844438e-05
9.349153417825907e-07	1.844300e+00	1.844411e-05
9.349650782404365e-07	1.844300e+00	1.844350e-05
9.350454581857405e-07	1.844299e+00	1.844317e-05
9.357074854783026e-07	1.844294e+00	1.844301e-05
9.404334605634359e-07	1.844254e+00	1.844253e-05
9.458345749464455e-07	1.844203e+00	1.844203e-05
9.556001999464454e-07	1.844098e+00	1.844098e-05
9.653658249464454e-07	1.843979e+00	1.843978e-05
9.751314499464454e-07	1.843844e+00	1.843844e-05
9.848970749464455e-07	1.843695e+00	1.843695e-05
9.946626999464455e-07	1.843531e+00	1.843531e-05
1.004428324946446e-06	1.843355e+00	1.843354e-05
1.014193949946446e-06	1.843166e+00	1.843165e-05
1.023959574946446e-06	1.842965e+00	1.842965e-05
1.033725199946446e-06	1.842754e+00	1.842754e-05
1.043518280646780e-06	1.842534e+00	1.842538e-05
1.044926657092490e-06	1.842501e+00	1.842503e-05
1.046347962513862e-06	1.842467e+00	1.842468e-05
1.048150092171159e-06	1.842424e+00	1.842424e-05
1.051754351485752e-06	1.842335e+00	1.842335e-05
1.057264233334193e-06	1.842197e+00	1.842196e-05
1.063234983882526e-06	1.842043e+00	1.842043e-05
1.068670643661324e-06	1.841902e+00	1.841901e-05
