    0.31250E+00    0.28893E+00   -0.11970E+01   -0.22508E+01
    0.31641E+00    0.28424E+00   -0.12056E+01   -0.22014E+01
    0.32031E+00    0.27951E+00   -0.12140E+01   -0.21518E+01
    0.32422E+00    0.27475E+00   -0.12222E+01   -0.21020E+01
    0.32812E+00    0.26996E+00   -0.12302E+01   -0.20518E+01
    0.33203E+00    0.26514E+00   -0.12381E+01   -0.20014E+01
    0.33594E+00    0.26029E+00   -0.12457E+01   -0.19507E+01
    0.33984E+00    0.25541E+00   -0.12531E+01   -0.18998E+01
    0.34375E+00    0.25050E+00   -0.12604E+01   -0.18487E+01
    0.34766E+00    0.24556E+00   -0.12674E+01   -0.17973E+01
    0.35156E+00    0.24060E+00   -0.12742E+01   -0.17457E+01
    0.35547E+00    0.23560E+00   -0.12808E+01   -0.16939E+01
    0.35938E+00    0.23059E+00   -0.12873E+01   -0.16419E+01
    0.36328E+00    0.22555E+00   -0.12935E+01   -0.15897E+01
    0.36719E+00    0.22048E+00   -0.12995E+01   -0.15373E+01
    0.37109E+00    0.21540E+00   -0.13053E+01   -0.14847E+01
    0.37500E+00    0.21029E+00   -0.13109E+01   -0.14319E+01
    0.37891E+00    0.20515E+00   -0.13163E+01   -0.13790E+01
    0.38281E+00    0.20000E+00   -0.13215E+01   -0.13260E+01
    0.38672E+00    0.19483E+00   -0.13264E+01   -0.12728E+01
    0.39062E+00    0.18964E+00   -0.13312E+01   -0.12194E+01
    0.39453E+00    0.18443E+00   -0.13358E+01   -0.11660E+01
    0.39844E+00    0.17920E+00   -0.13401E+01   -0.11124E+01
    0.40234E+00    0.17396E+00   -0.13443E+01   -0.10587E+01
    0.40625E+00    0.16870E+00   -0.13482E+01   -0.10049E+01
    0.41016E+00    0.16343E+00   -0.13519E+01   -0.95104E+00
    0.41406E+00    0.15814E+00   -0.13554E+01   -0.89709E+00
    0.41797E+00    0.15284E+00   -0.13587E+01   -0.84307E+00
    0.42188E+00    0.14752E+00   -0.13618E+01   -0.78898E+00
    0.42578E+00    0.14220E+00   -0.13647E+01   -0.73485E+00
    0.42969E+00    0.13686E+00   -0.13673E+01   -0.68068E+00
    0.43359E+00    0.13151E+00   -0.13698E+01   -0.62647E+00
    0.43750E+00    0.12616E+00   -0.13720E+01   -0.57224E+00
    0.44141E+00    0.12080E+00   -0.13740E+01   -0.51800E+00
    0.44531E+00    0.11542E+00   -0.13758E+01   -0.46375E+00
    0.44922E+00    0.11005E+00   -0.13774E+01   -0.40951E+00
    0.45312E+00    0.10466E+00   -0.13788E+01   -0.35529E+00
    0.45703E+00    0.99273E-01   -0.13800E+01   -0.30110E+00
    0.46094E+00    0.93880E-01   -0.13810E+01   -0.24693E+00
    0.46484E+00    0.88484E-01   -0.13817E+01   -0.19282E+00
    0.46875E+00    0.83085E-01   -0.13823E+01   -0.13876E+00
    0.47266E+00    0.77684E-01   -0.13826E+01   -0.84760E-01
    0.47656E+00    0.72283E-01   -0.13827E+01   -0.30837E-01
    0.48047E+00    0.66881E-01   -0.13826E+01    0.23003E-01
    0.48438E+00    0.61481E-01   -0.13823E+01    0.76749E-01
    0.48828E+00    0.56082E-01   -0.13818E+01    0.13039E+00
    0.49219E+00    0.50685E-01   -0.13811E+01    0.18392E+00
    0.49609E+00    0.45291E-01   -0.13802E+01    0.23733E+00
    0.50000E+00    0.39902E-01   -0.13790E+01    0.29061E+00
    0.50391E+00    0.34517E-01   -0.13777E+01    0.34375E+00
    0.50781E+00    0.29138E-01   -0.13761E+01    0.39673E+00
    0.51172E+00    0.23765E-01   -0.13744E+01    0.44956E+00
    0.51562E+00    0.18400E-01   -0.13724E+01    0.50222E+00
    0.51953E+00    0.13043E-01   -0.13703E+01    0.55470E+00
    0.52344E+00    0.76947E-02   -0.13679E+01    0.60700E+00
    0.52734E+00    0.23560E-02   -0.13653E+01    0.65909E+00
    0.53125E+00   -0.29722E-02   -0.13625E+01    0.71098E+00
    0.53516E+00   -0.82891E-02   -0.13595E+01    0.76266E+00
    0.53906E+00   -0.13594E-01   -0.13564E+01    0.81412E+00
    0.54297E+00   -0.18886E-01   -0.13530E+01    0.86534E+00
    0.54688E+00   -0.24165E-01   -0.13494E+01    0.91632E+00
    0.55078E+00   -0.29429E-01   -0.13456E+01    0.96705E+00
    0.55469E+00   -0.34678E-01   -0.13416E+01    0.10175E+01
    0.55859E+00   -0.39911E-01   -0.13375E+01    0.10677E+01
    0.56250E+00   -0.45127E-01   -0.13331E+01    0.11177E+01
    0.56641E+00   -0.50326E-01   -0.13285E+01    0.11673E+01
    0.57031E+00   -0.55506E-01   -0.13238E+01    0.12167E+01
    0.57422E+00   -0.60668E-01   -0.13188E+01    0.12657E+01
    0.57812E+00   -0.65810E-01   -0.13137E+01    0.13145E+01
    0.58203E+00   -0.70931E-01   -0.13083E+01    0.13629E+01
    0.58594E+00   -0.76032E-01   -0.13028E+01    0.14110E+01
    0.58984E+00   -0.81110E-01   -0.12971E+01    0.14588E+01
    0.59375E+00   -0.86166E-01   -0.12912E+01    0.15062E+01
    0.59766E+00   -0.91198E-01   -0.12852E+01    0.15533E+01
    0.60156E+00   -0.96207E-01   -0.12789E+01    0.16000E+01
    0.60547E+00   -0.10119E+00   -0.12725E+01    0.16464E+01
    0.60938E+00   -0.10615E+00   -0.12658E+01    0.16924E+01
    0.61328E+00   -0.11108E+00   -0.12591E+01    0.17380E+01
    0.61719E+00   -0.11598E+00   -0.12521E+01    0.17833E+01
    0.62109E+00   -0.12086E+00   -0.12449E+01    0.18281E+01
    0.62500E+00   -0.12571E+00   -0.12376E+01    0.18726E+01
    0.62891E+00   -0.13053E+00   -0.12301E+01    0.19167E+01
    0.63281E+00   -0.13532E+00   -0.12224E+01    0.19603E+01
    0.63672E+00   -0.14008E+00   -0.12146E+01    0.20035E+01
    0.64062E+00   -0.14481E+00   -0.12066E+01    0.20464E+01
    0.64453E+00   -0.14951E+00   -0.11984E+01    0.20887E+01
    0.64844E+00   -0.15417E+00   -0.11901E+01    0.21307E+01
    0.65234E+00   -0.15881E+00   -0.11816E+01    0.21722E+01
    0.65625E+00   -0.16341E+00   -0.11730E+01    0.22133E+01
    0.66016E+00   -0.16797E+00   -0.11641E+01    0.22539E+01
    0.66406E+00   -0.17250E+00   -0.11552E+01    0.22941E+01
    0.66797E+00   -0.17700E+00   -0.11461E+01    0.23338E+01
    0.67188E+00   -0.18146E+00   -0.11368E+01    0.23730E+01
    0.67578E+00   -0.18588E+00   -0.11273E+01    0.24118E+01
    0.67969E+00   -0.19026E+00   -0.11178E+01    0.24501E+01
    0.68359E+00   -0.19461E+00   -0.11080E+01    0.24879E+01
    0.68750E+00   -0.19892E+00   -0.10982E+01    0.25252E+01
    0.69141E+00   -0.20319E+00   -0.10881E+01    0.25620E+01
    0.69531E+00   -0.20742E+00   -0.10780E+01    0.25984E+01
    0.69922E+00   -0.21161E+00   -0.10677E+01    0.26342E+01
    0.70312E+00   -0.21576E+00   -0.10572E+01    0.26695E+01
    0.70703E+00   -0.21987E+00   -0.10467E+01    0.27044E+01
